Column,Question,Asked
WorkCodeSharing,"At work, which tools do you use to share code? (Select all that apply) - Selected Choice",CodingWorker
WorkCodeSharingFreeForm,"At work, which tools do you use to share code? (Select all that apply) - Other - Text",CodingWorker
RemoteWork,How often do you work remotely?,CodingWorker
CompensationAmount,"What is your current total yearly compensation (salary + bonus)? - Total Amount (e.g. 75,000) - Your Compensation: -",CodingWorker
CompensationCurrency,What is your current total yearly compensation (salary + bonus)? - Choose your currency: - Your Compensation:,CodingWorker
SalaryChange,How has your salary/compensation changed in the past 3 years? - Selected Choice,CodingWorker
SalaryChangeFreeForm,How has your salary/compensation changed in the past 3 years? - Other - Text,CodingWorker
JobSatisfaction,"On a scale from 0 (Highly Dissatisfied) - 10 (Highly Satisfied), how satisfied are you with your current job?",CodingWorker
JobSearchResource,Which resource has been the best for finding data science job openings? (Select one option) - Selected Choice,Learners
JobSearchResourceFreeForm,Which resource has been the best for finding data science job openings? (Select one option) - Other - Text,Learners
JobHuntTime,How many hours per week have you typically spend looking for a data science job?,Learners
JobFactorLearning,How are you assessing potential job opportunities? - Opportunities for professional development,Learners
JobFactorSalary,How are you assessing potential job opportunities? - The compensation and benefits offered,Learners
JobFactorOffice,How are you assessing potential job opportunities? - The office environment I'd be working in,Learners
JobFactorLanguages,"How are you assessing potential job opportunities? - The languages, frameworks, and other technologies I'd be working with",Learners
JobFactorCommute,How are you assessing potential job opportunities? - The amount of time I'd have to spend commuting,Learners
JobFactorManagement,How are you assessing potential job opportunities? - How projects are managed at the company or organization,Learners
JobFactorExperienceLevel,How are you assessing potential job opportunities? - The experience level called for in the job description,Learners
JobFactorDepartment,How are you assessing potential job opportunities? - The specific department or team I'd be working on,Learners
JobFactorTitle,How are you assessing potential job opportunities? - The specific role or job title I'd be applying for,Learners
JobFactorCompanyFunding,How are you assessing potential job opportunities? - The financial performance or funding status of the company or organization,Learners
JobFactorImpact,How are you assessing potential job opportunities? - How widely used or impactful the product or service I'd be working on is,Learners
JobFactorRemote,How are you assessing potential job opportunities? - The opportunity to work from home/remotely,Learners
JobFactorIndustry,How are you assessing potential job opportunities? - The industry that I'd be working in,Learners
JobFactorLeaderReputation,How are you assessing potential job opportunities? - The reputations of the company's senior leaders,Learners
JobFactorDiversity,How are you assessing potential job opportunities? - The diversity of the company or organization,Learners
JobFactorPublishingOpportunity,How are you assessing potential job opportunities? - Opportunity to publish my results,Learners
